owner,name,full_name,description,stars,language,created_at,html_url
OpenTalker,SadTalker,OpenTalker/SadTalker,[CVPR 2023] SadTalker：Learning Realistic 3D Motion Coefficients for Stylized Audio-Driven Single Image Talking Face Animation,13235,Python,2022-11-23T02:18:18Z,https://github.com/OpenTalker/SadTalker
bytedance,LatentSync,bytedance/LatentSync,Taming Stable Diffusion for Lip Sync!,4959,Python,2024-12-11T10:32:54Z,https://github.com/bytedance/LatentSync
yerfor,GeneFace,yerfor/GeneFace,GeneFace: Generalized and High-Fidelity 3D Talking Face Synthesis; ICLR 2023; Official code,2635,Python,2023-02-03T13:52:50Z,https://github.com/yerfor/GeneFace
Weizhi-Zhong,IP_LAP,Weizhi-Zhong/IP_LAP,CVPR2023 talking face implementation for Identity-Preserving Talking Face Generation With Landmark and Appearance Priors,733,Python,2023-03-21T04:12:32Z,https://github.com/Weizhi-Zhong/IP_LAP
yerfor,GeneFacePlusPlus,yerfor/GeneFacePlusPlus,GeneFace++: Generalized and Stable Real-Time 3D Talking Face Generation; Official Code,1758,Python,2024-02-01T05:28:57Z,https://github.com/yerfor/GeneFacePlusPlus
JOY-MM,JoyGen,JOY-MM/JoyGen,talking-face video editing,381,Python,2025-01-02T05:41:08Z,https://github.com/JOY-MM/JoyGen
Hangz-nju-cuhk,Talking-Face_PC-AVS,Hangz-nju-cuhk/Talking-Face_PC-AVS,Code for Pose-Controllable Talking Face Generation by Implicitly Modularized Audio-Visual Representation (CVPR 2021),951,Python,2021-03-25T08:31:36Z,https://github.com/Hangz-nju-cuhk/Talking-Face_PC-AVS
OpenTalker,StyleHEAT,OpenTalker/StyleHEAT,[ECCV 2022] StyleHEAT: A framework for high-resolution editable talking face generation,656,Python,2022-03-09T06:42:59Z,https://github.com/OpenTalker/StyleHEAT
zhangchenxu528,FACIAL,zhangchenxu528/FACIAL,"FACIAL: Synthesizing Dynamic Talking Face With Implicit Attribute Learning. ICCV, 2021.",384,Python,2021-10-11T05:02:28Z,https://github.com/zhangchenxu528/FACIAL
yerfor,MimicTalk,yerfor/MimicTalk,MimicTalk: Mimicking a personalized and expressive 3D talking face in minutes; NeurIPS 2024; Official code,777,Python,2024-10-09T10:02:04Z,https://github.com/yerfor/MimicTalk
ajay-sainy,Wav2Lip-GFPGAN,ajay-sainy/Wav2Lip-GFPGAN,High quality Lip sync,1137,Python,2022-08-18T03:11:21Z,https://github.com/ajay-sainy/Wav2Lip-GFPGAN
